id,name,sku,category,price,quantity,min_stock_level,reorder_point,safety_stock,created_at,updated_at
451,Community Consumer,SKU00451,Power,229.92,317,30,77,4,2025-11-02 19:07:37.422269,2025-11-02 19:07:37.422270
452,Quality Citizen,SKU00452,Its,165.71,261,22,61,8,2025-11-02 19:07:37.422316,2025-11-02 19:07:37.422316
453,Around Long,SKU00453,Police,199.23,51,17,73,19,2025-11-02 19:07:37.422364,2025-11-02 19:07:37.422365
454,Plan Usually,SKU00454,All,331.05,434,5,11,18,2025-11-02 19:07:37.422410,2025-11-02 19:07:37.422411
455,Leader Yet,SKU00455,Specific,131.06,19,44,30,13,2025-11-02 19:07:37.422456,2025-11-02 19:07:37.422457
456,Agree Conference,SKU00456,Financial,250.25,273,26,81,19,2025-11-02 19:07:37.422502,2025-11-02 19:07:37.422503
457,Change Dinner,SKU00457,Professional,308.9,453,27,97,15,2025-11-02 19:07:37.422548,2025-11-02 19:07:37.422549
458,Quality Soldier,SKU00458,Build,79.33,425,48,74,7,2025-11-02 19:07:37.422596,2025-11-02 19:07:37.422597
459,Cover Piece,SKU00459,Process,28.68,209,27,52,3,2025-11-02 19:07:37.422642,2025-11-02 19:07:37.422642
460,Wide Manage,SKU00460,Smile,40.68,417,39,33,19,2025-11-02 19:07:37.422706,2025-11-02 19:07:37.422706
461,Too World,SKU00461,Threat,478.47,286,44,67,16,2025-11-02 19:07:37.422753,2025-11-02 19:07:37.422754
462,Easy Respond,SKU00462,Cause,495.84,445,19,92,9,2025-11-02 19:07:37.422800,2025-11-02 19:07:37.422800
463,Yet Here,SKU00463,Research,393.0,60,47,67,7,2025-11-02 19:07:37.422846,2025-11-02 19:07:37.422846
464,See Defense,SKU00464,Hour,277.06,361,12,73,12,2025-11-02 19:07:37.422892,2025-11-02 19:07:37.422892
465,Blue Skin,SKU00465,Despite,15.37,489,32,90,10,2025-11-02 19:07:37.422938,2025-11-02 19:07:37.422939
466,Establish Drop,SKU00466,Cut,385.77,418,13,75,17,2025-11-02 19:07:37.422984,2025-11-02 19:07:37.422984
467,Sort Dog,SKU00467,Pm,106.82,58,40,77,16,2025-11-02 19:07:37.423030,2025-11-02 19:07:37.423030
468,Animal Find,SKU00468,Great,39.28,226,14,30,6,2025-11-02 19:07:37.423075,2025-11-02 19:07:37.423076
469,Television Say,SKU00469,I,149.95,497,6,22,18,2025-11-02 19:07:37.423129,2025-11-02 19:07:37.423129
470,Number Police,SKU00470,Rest,406.83,389,38,20,12,2025-11-02 19:07:37.423180,2025-11-02 19:07:37.423181
471,Production Girl,SKU00471,Food,172.44,433,22,64,11,2025-11-02 19:07:37.423226,2025-11-02 19:07:37.423226
472,Old Fill,SKU00472,By,189.22,324,18,98,14,2025-11-02 19:07:37.423275,2025-11-02 19:07:37.423275
473,Him Prepare,SKU00473,Computer,102.75,183,25,41,9,2025-11-02 19:07:37.423324,2025-11-02 19:07:37.423324
474,Rich Voice,SKU00474,Old,424.02,242,22,30,15,2025-11-02 19:07:37.423370,2025-11-02 19:07:37.423370
475,Other Responsibility,SKU00475,Both,114.43,135,12,55,10,2025-11-02 19:07:37.423415,2025-11-02 19:07:37.423416
476,Fall Because,SKU00476,Near,281.12,160,48,84,13,2025-11-02 19:07:37.423461,2025-11-02 19:07:37.423462
477,Identify Wonder,SKU00477,Beyond,138.32,357,33,22,4,2025-11-02 19:07:37.423507,2025-11-02 19:07:37.423507
478,Resource Vote,SKU00478,Newspaper,70.21,472,31,59,17,2025-11-02 19:07:37.423553,2025-11-02 19:07:37.423553
479,Change Grow,SKU00479,Image,255.4,97,48,86,13,2025-11-02 19:07:37.423599,2025-11-02 19:07:37.423600
480,Your Represent,SKU00480,Property,380.3,362,7,72,9,2025-11-02 19:07:37.423648,2025-11-02 19:07:37.423648
481,Feeling Exist,SKU00481,Almost,290.7,290,41,17,12,2025-11-02 19:07:37.423702,2025-11-02 19:07:37.423702
482,Fill Final,SKU00482,Than,281.23,81,5,14,5,2025-11-02 19:07:37.423748,2025-11-02 19:07:37.423749
483,Professional Stay,SKU00483,Exist,495.95,113,39,73,12,2025-11-02 19:07:37.423794,2025-11-02 19:07:37.423795
484,Reality Task,SKU00484,Pick,330.49,482,14,30,16,2025-11-02 19:07:37.423840,2025-11-02 19:07:37.423840
485,Group Of,SKU00485,Project,309.91,420,6,50,18,2025-11-02 19:07:37.423886,2025-11-02 19:07:37.423886
486,Your My,SKU00486,Here,392.98,429,26,99,14,2025-11-02 19:07:37.423931,2025-11-02 19:07:37.423932
487,Program Recognize,SKU00487,True,374.14,23,38,62,13,2025-11-02 19:07:37.423978,2025-11-02 19:07:37.423978
488,Keep Learn,SKU00488,Pretty,379.35,232,10,65,7,2025-11-02 19:07:37.424023,2025-11-02 19:07:37.424024
489,Record Kitchen,SKU00489,Fine,66.73,120,8,29,12,2025-11-02 19:07:37.424069,2025-11-02 19:07:37.424069
490,Set Challenge,SKU00490,Serious,443.67,236,30,46,8,2025-11-02 19:07:37.424117,2025-11-02 19:07:37.424118
491,Pick Lot,SKU00491,Everybody,209.25,497,43,30,12,2025-11-02 19:07:37.424169,2025-11-02 19:07:37.424170
492,Clearly Trip,SKU00492,Local,311.7,269,49,29,19,2025-11-02 19:07:37.424215,2025-11-02 19:07:37.424216
493,Seem Any,SKU00493,War,296.16,13,33,23,5,2025-11-02 19:07:37.424264,2025-11-02 19:07:37.424265
494,Occur Yard,SKU00494,None,37.1,345,8,33,4,2025-11-02 19:07:37.424311,2025-11-02 19:07:37.424311
495,Base Huge,SKU00495,Officer,301.69,412,35,69,19,2025-11-02 19:07:37.424357,2025-11-02 19:07:37.424357
496,This Character,SKU00496,Will,320.06,220,26,33,15,2025-11-02 19:07:37.424403,2025-11-02 19:07:37.424403
497,Attorney Mother,SKU00497,Every,374.23,323,42,40,6,2025-11-02 19:07:37.424449,2025-11-02 19:07:37.424449
498,He Event,SKU00498,Behavior,261.05,441,49,64,19,2025-11-02 19:07:37.424495,2025-11-02 19:07:37.424495
499,Include House,SKU00499,Reveal,219.84,155,32,56,13,2025-11-02 19:07:37.424541,2025-11-02 19:07:37.424541
500,Owner Course,SKU00500,Trade,368.14,127,49,42,19,2025-11-02 19:07:37.424590,2025-11-02 19:07:37.424590
